solution_index,comsol_tvb_root,comsol_MAC,matlab_no_loss_index,matlab_tvb_index,matlab_MAC,comsol_no_loss_real_Hz,comsol_no_loss_imag_Hz,comsol_tvb_real_Hz,comsol_tvb_imag_Hz,matlab_no_loss_real_Hz,matlab_no_loss_imag_Hz,matlab_tvb_real_Hz,matlab_tvb_imag_Hz,comsol_loss_increment_Hz,matlab_loss_increment_Hz,no_loss_real_relative_error,tvb_real_relative_error,tvb_imag_absolute_error_Hz,loss_increment_absolute_error_Hz,loss_increment_relative_error,meaningful_loss,loss_within_10pct
46,89,0.999999999999999,76,76,0.999704812333889,1716.51804272291,138.071556306308,1716.98650959113,138.121253794778,1800.87539252405,19.51277796386,1800.6608668428,20.0834277231821,0.0496974884700023,0.570649759322087,0.0491444585501268,0.0487332642302452,118.037826071596,0.520952270852085,0.520952270852085,0,0
47,90,1,77,77,0.999991982005571,1716.5181898607,137.866723096732,1717.01111002856,138.099130104125,1805.15313523805,241.203171450188,1805.15283796396,241.184765449147,0.232407007393022,-0.018406001040546,0.0516364731238528,0.05133439581176,103.085635345022,0.250813008433568,0.250813008433568,0,0
48,91,0.999999999999998,78,78,0.999803753324428,1716.65273987886,52.9466512837993,1721.4551670418,201.116183270507,1813.02369453601,17.3457642826822,1812.73708978727,18.1696302700721,148.169531986708,0.823865987389837,0.0561388756260347,0.0530260238507028,182.946553000435,147.345665999318,0.994439707162848,1,0
49,92,1,79,79,0.999945104796327,1718.68612145878,104.953585217051,1721.46040024707,201.111442747753,1815.88421256871,73.3659534460761,1814.64300914145,74.1211834888027,96.157857530702,0.755230042726609,0.0565537185041246,0.0541299752704186,126.99025925895,95.4026274879754,0.992145935214026,1,0
50,93,0.999999999999999,80,80,0.999887301231879,1721.13143167498,201.154312450052,1721.46858861472,201.108673772218,1817.55890136152,16.4418874066699,1817.22631702589,17.268320212999,-0.0456386778340061,0.826432806329084,0.0560256282070791,0.0556256030719854,183.840353559219,0.87207148416309,0.87207148416309,0,0
51,94,1,81,81,0.999991560846255,1721.13345717564,201.150742205875,1721.47202706524,201.102095402378,1817.81953540997,246.963770998626,1817.81328389482,246.949817240574,-0.0486468034969789,-0.0139537580521107,0.0561758170647571,0.0559644625732447,45.8477218381963,0.0346930454448682,0.0346930454448682,0,0
52,99,1,82,83,0.9999912133791,1721.14018032583,201.153616501744,1724.19709626815,76.8396124260997,1823.37903800858,241.12148733917,1823.3673127148,241.111036711892,-124.314004075644,-0.0104506272770948,0.0594018191263183,0.057516751803662,164.271424285793,124.303553448367,0.999915933628276,1,0
53,100,1,83,82,0.999928716959485,1721.14099798846,201.153820352366,1725.07841265456,78.1084688506518,1823.82490621111,82.3933913942117,1822.87432777255,83.0116477287226,-123.045351501714,0.618256334510846,0.0596603696865382,0.0566907071589292,4.90317887807075,123.663607836225,1.00502462162906,1,0
54,105,1,84,84,0.999962376639006,1732.69628547312,79.0675566177807,1766.68672753336,80.6989678030682,1838.4763793024,8.16186868544243,1837.81205261737,9.13127849972592,1.6314111852875,0.969409814283489,0.0610494145547261,0.0402591608209558,71.5676893033423,0.662001371004011,0.405784499318207,1,0
55,106,0.999999999999999,85,85,0.999980746993447,1737.32374983202,110.316658266094,1767.14484244589,80.2794907044987,1839.75417712775,97.9603014224726,1838.81735609415,98.4761229444194,-30.0371675615953,0.515821521946791,0.0589587446240989,0.0405583695952473,18.1966322399207,30.5529890835421,1.01717277505907,1,0
56,107,1,86,86,0.99993316658934,1744.173116348,88.3145501276916,1801.46606646272,104.712709984056,1881.86956498814,7.35572605363917,1880.94633712861,8.33665300801474,16.3981598563644,0.980926954375565,0.0789465491409756,0.0441197711938894,96.3760569760413,15.4172329019888,0.940180668869693,1,0
57,108,0.999999999999998,87,87,0.999928585856584,1744.69521819032,88.6775638171568,1817.15915518344,84.3176518005607,1895.68996515402,10.2058415465666,1894.74076972554,11.040167755127,-4.3599120165961,0.834326208560359,0.0865450569184929,0.0426939018086553,73.2774840454337,5.19423822515646,1.19136308379263,1,0
58,109,0.999999999999998,88,88,0.999987179096254,1769.73636740708,71.8982827338847,1818.21917547818,84.4354258702504,1919.29169611609,100.073561702338,1918.46869805887,100.672334061977,12.5371431363657,0.598772359638687,0.084507122904484,0.0551361045646899,16.2369081917265,11.938370776727,0.952240127345929,1,0
59,110,0.999999999999999,89,89,0.999963311235625,1808.1266262528,101.860974263249,1826.73176916099,100.45180085863,1923.33817470926,9.46153112118726,1922.39433134582,10.0044739584119,-1.40917340461901,0.542942837224649,0.0637187389332486,0.0523681493910664,90.4473269002181,1.95211624184366,1.3852917145931,1,0
60,111,1,90,90,0.999746449866159,1825.90867817339,80.8172185198473,1828.27845635101,99.3931368582822,1937.35487018871,25.7168182319278,1936.68267937961,26.0941495481514,18.5759183384349,0.377331316223589,0.0610360163942087,0.0592930593542938,73.2989873101308,18.1985870222113,0.979687070682106,1,0
